Name,2022 Total Population By State 16 years and over,2022 Male Employment/Population Ratio 20 to 64 years,2022 Female Employment/Population Ratio 20 to 64 years
Alabama,4093740,74.5,66.1
Alaska,575934,72.2,69.8
Arizona,5961733,78.6,69.1
Arkansas,2430600,73.7,64.9
California,31552708,78.4,69
Colorado,4776317,82.6,75.7
Connecticut,2986455,80.4,74.7
Delaware,835365,81,73.3
District of Columbia,557547,79,79.5
Florida,18459053,77.6,70.9
Georgia,8708310,77.8,70.7
Hawaii,1175667,71.8,73
Idaho,1530729,80.1,70
Illinois,10199598,80.1,73.4
Indiana,5456066,80.7,72.2
Iowa,2570925,83.5,78.4
Kansas,2330842,80.2,74.2
Kentucky,3626511,74.4,67.4
Louisiana,3656541,71.5,66.9
Maine,1170061,77.7,75.3
Maryland,4974349,81.4,75.6
Massachusetts,5805465,80.8,76.7
Michigan,8179427,77.7,70.6
Minnesota,4579443,84.1,79.1
Mississippi,2341292,70.9,65.8
Missouri,4974792,78.6,72.6
Montana,916289,79.5,75.1
Nebraska,1547790,84.8,77.6
Nevada,2572023,77.4,69.4
New Hampshire,1177400,82,77.1
New Jersey,7510983,81.9,73.3
New Mexico,1710459,72.2,66.2
New York,16154241,77.1,72
North Carolina,8671939,77.2,70.8
North Dakota,617710,83.9,78.4
Ohio,9506533,79.3,72.8
Oklahoma,3178852,75.5,67.3
Oregon,3509464,78.6,72.8
Pennsylvania,10660341,79.1,73.2
Rhode Island,916019,77.9,75.7
South Carolina,4294594,76.3,69.8
South Dakota,716965,81.5,78.1
Tennessee,5699603,78.9,69.6
Texas,23471441,80.4,69.1
Utah,2560844,86.7,71.6
Vermont,548050,80.5,78.6
Virginia,7041278,77.7,72.6
Washington,6328051,79.7,71
West Virginia,1466266,68.2,63.4
Wisconsin,4802830,82,77.1
Wyoming,465883,79.9,74.7
Puerto Rico,2781341,63.3,54
