"",Name,2021 Total Population By State 16 years and over,2021 Male Employment/Population Ratio 20 to 64 years,2021 Female Employment/Population Ratio 20 to 64 years
0,Alabama,4046627,72.3,64.2
1,Alaska,571832,68.7,67.2
2,Arizona,5852913,76.4,67.4
3,Arkansas,2405035,73.3,67.1
4,California,31507237,75.4,65.9
5,Colorado,4720626,80.1,73.1
6,Connecticut,2971314,78.0,73.2
7,Delaware,819868,73.4,70.9
8,District of Columbia,553437,74.9,74.9
9,Florida,18010659,75.9,68.5
10,Georgia,8575918,74.9,68.4
11,Hawaii,1166220,68.0,68.9
12,Idaho,1484932,80.6,69.7
13,Illinois,10203044,77.1,70.4
14,Indiana,5401077,78.6,70.5
15,Iowa,2543525,82.4,76.1
16,Kansas,2315379,79.1,73.5
17,Kentucky,3612858,71.5,65.9
18,Louisiana,3663069,67.8,64.6
19,Maine,1155699,76.7,72.4
20,Maryland,4964751,78.4,72.9
21,Massachusetts,5790261,79.2,74.4
22,Michigan,8156411,75.2,67.5
23,Minnesota,4554126,82.4,77.9
24,Mississippi,2340485,68.1,64.1
25,Missouri,4949628,77.3,71.5
26,Montana,895986,77.0,71.8
27,Nebraska,1534896,84.3,77.7
28,Nevada,2526328,73.2,65.9
29,New Hampshire,1164253,82.7,74.6
30,New Jersey,7489289,78.1,70.5
31,New Mexico,1700082,68.5,63.1
32,New York,16210453,73.3,68.9
33,North Carolina,8524268,74.7,68.3
34,North Dakota,610714,81.1,75.6
35,Ohio,9480334,76.9,70.8
36,Oklahoma,3140799,73.1,67.1
37,Oregon,3487919,76.1,69.0
38,Pennsylvania,10602171,76.4,70.9
39,Rhode Island,913136,76.7,72.0
40,South Carolina,4207365,74.2,66.9
41,South Dakota,699893,81.3,78.0
42,Tennessee,5616708,76.1,66.9
43,Texas,22934023,78.1,66.6
44,Utah,2507029,85.0,69.3
45,Vermont,542827,78.1,77.1
46,Virginia,6980718,76.7,71.2
47,Washington,6250868,76.5,68.8
48,West Virginia,1465755,66.5,61.7
49,Wisconsin,4773326,80.8,75.6
50,Wyoming,461622,81.9,72.7
51,Puerto Rico,2794959,57.3,51.3
